Install Date,No_of_installs,purchase_week1,purchase_week2,purchase_week3,purchase_week4,purchase_week5,purchase_week6
2019-12-01,48,48.0,,,,,
2019-12-02,38,,38.0,,,,
2019-12-03,56,,56.0,,,,
2019-12-04,42,,42.0,,,,
2019-12-05,31,,31.0,,,,
2019-12-06,44,,44.0,,,,
2019-12-07,55,,55.0,,,,
2019-12-08,85,,85.0,,,,
2019-12-09,53,,,53.0,,,
2019-12-10,24,,,24.0,,,
2019-12-11,48,,,48.0,,,
2019-12-12,37,,,37.0,,,
2019-12-13,62,,,62.0,,,
2019-12-14,36,,,36.0,,,
2019-12-15,52,,,52.0,,,
2019-12-16,34,,,,34.0,,
2019-12-17,43,,,,43.0,,
2019-12-18,51,,,,51.0,,
2019-12-19,30,,,,30.0,,
2019-12-20,348,,,,348.0,,
2019-12-21,313,,,,313.0,,
2019-12-22,252,,,,252.0,,
2019-12-23,124,,,,,124.0,
2019-12-24,97,,,,,97.0,
2019-12-25,95,,,,,95.0,
2019-12-26,85,,,,,85.0,
2019-12-27,10,,,,,10.0,
2019-12-28,21,,,,,21.0,
2019-12-29,34,,,,,34.0,
2019-12-30,24,,,,,,24.0
